,frame,behaviour,hit,values,freq
264,264,Nothing,,,
265,265,Nothing,,,
266,266,Nothing,,,
267,267,Nothing,,,
268,268,Nothing,,,
269,269,Nothing,,,
270,270,Nothing,,,
271,271,Nothing,,,
272,272,Nothing,,,
273,273,Nothing,,,
274,274,Nothing,,,
275,275,Nothing,,,
276,276,Nothing,,,
277,277,Nothing,,,
278,278,Nothing,,,
279,279,Nothing,,,
280,280,Nothing,,,
281,281,Nothing,,,
282,282,Nothing,,,
283,283,Nothing,,,
284,284,Nothing,,,
285,285,Nothing,,,
286,286,Nothing,,,
287,287,Nothing,,,
288,288,Nothing,,,
289,289,Nothing,,,
290,290,Nothing,,,
291,291,Nothing,,,
292,292,Nothing,,,
293,293,Nothing,,,
294,294,Nothing,,,
295,295,Nothing,,,
296,296,Nothing,,,
297,297,Nothing,,,
298,298,Nothing,,,
299,299,Nothing,,,
300,300,Nothing,,,
301,301,Nothing,,,
302,302,Nothing,,,
303,303,Nothing,,,
304,304,Nothing,,,
305,305,Nothing,,,
306,306,Nothing,,,
307,307,Nothing,,,
308,308,Nothing,,,
309,309,Nothing,,,
310,310,Nothing,,,
311,311,Nothing,,,
312,312,Nothing,,,
313,313,Nothing,,,
314,314,Nothing,,,
315,315,Nothing,,,
316,316,Nothing,,,
317,317,Nothing,,,
318,318,Nothing,,,
319,319,Nothing,,,
320,320,Nothing,,,
321,321,Nothing,,,
322,322,Nothing,,,
323,323,Nothing,,,
324,324,Nothing,,,
325,325,Nothing,,,
326,326,Nothing,,,
327,327,Nothing,,,
328,328,Nothing,,,
329,329,Nothing,,,
330,330,Nothing,,,
331,331,Nothing,,,
332,332,Nothing,,,
333,333,Nothing,,,
334,334,Nothing,,,
335,335,Nothing,,,
336,336,Nothing,,,
337,337,Nothing,,,
338,338,Nothing,,,
339,339,Nothing,,,
340,340,Nothing,,,
341,341,Nothing,,,
342,342,Nothing,,,
343,343,Nothing,,,
344,344,Nothing,,,
345,345,Nothing,,,
346,346,Nothing,,,
347,347,Nothing,,,
348,348,Nothing,,,
349,349,Nothing,,,
350,350,Nothing,,,
351,351,Nothing,,,
352,352,Nothing,,,
353,353,Nothing,,,
354,354,Nothing,,,
355,355,Nothing,,,
356,356,Nothing,,,
357,357,Nothing,,,
358,358,Nothing,,,
359,359,Nothing,,,
360,360,Nothing,,,
361,361,Nothing,,,
362,362,Nothing,,,
363,363,Nothing,,,
364,364,Nothing,,,
365,365,Nothing,,,
366,366,Nothing,,,
